nome_fantasia,nome,endereco,inicio,alvara,lat,lon,link,petisco,imagem
RESTAURANTE NOVO SABOR,D'MARCUS & CESAR RESTAURANTE LTDA,"RUA DOS OTONI, 222 LETRA: A, - SANTA EFIGENIA",16-09-2011,SIM,-19.92686647986219,-43.92258802003749,,,
,BAR DO MELO LTDA,"RUA DOS TUPINAMBAS, 1100 LOJA: 04, - CENTRO",28-09-2011,SIM,-19.916263399753554,-43.944573994617166,,,
,"DU DAY RESTAURANTE, LANCHONETE E DISTRIBUIDORA DE BEBIDAS LTDA","AVE SOLFERINA RICCI PACE, 1301 nan - CONJUNTO JATOBA",27-09-2011,SIM,-20.00352710293588,-44.04393527172908,,,
RESTAURANTE E PIZZARIA VALORES DE MINAS,RESTAURANTE E PIZZARIA VALORES DE MINAS LTDA,"RUA FURQUIM WERNECK, 619 nan - TUPI A",26-08-2011,NÃO,-19.839707227975023,-43.920575317842754,,,
,N.S. JUNIOR REPRESENTACOES COMERCIAIS DE MAQUINAS E EQUIPAMENTOS LTDA,"RUA GASPARINO CARVALHO SILVA, 129 APT 301 - PAQUETA",09-09-2011,NÃO,-19.87328982252356,-43.99234619816059,,,
,SHIRLEY FRAGUAS MESQUITA 85413178620,"RUA SALINAS, 1547 nan - SANTA TEREZA",30-09-2011,NÃO,-19.91503303363305,-43.9204924222797,,,
,JOEL MARTINS 03590726660,"RUA OLINTO MAGALHAES, 710 nan - PADRE EUSTAQUIO",21-09-2011,SIM,-19.913534336671635,-43.98763325350447,,,
,DIVINA DA CONSOLACAO SILVA 70054436672,"ALA DAS FLORES, 8 nan - VILA SUMARE",12-09-2011,NÃO,-19.88824090926065,-43.96581757525022,,,
,FERNANDO CARLOS ROSA 39953084653,"RUA JOSE FELIX MARTINS, 560 nan - MANTIQUEIRA",30-08-2011,NÃO,-19.801402165764014,-43.983672818137876,,,
PIZZAIOLO SAO GERALDO II,PIZZAIOLO BOA VISTA LTDA,"RUA MANGARATIBA, 390 nan - SAO GERALDO",21-09-2011,NÃO,-19.899135799802995,-43.90222163287567,,,
,RESTAURANTE BAO TAMEM LTDA,"AVE OIAPOQUE, 156 ANDAR 2 LOJA M 001 - CENTRO",30-08-2011,SIM,-19.913528054857576,-43.93941005877138,,,
XICO DO CHURRASCO SAVASSI,BH CHURRASCARIA LTDA,"RUA SERGIPE, 1360 nan - SAVASSI",21-09-2011,NÃO,-19.938390187491812,-43.938495087899355,,,
,SELMO PEREIRA COIMBRA 95585494600,"RUA DONA MARIA SENHORA, 853 nan - DIAMANTE",06-10-2011,NÃO,-19.99834244700623,-44.02147872675659,,,
CANTINA DO CHURRASCO,14.396.470 TIAGO BARBOSA RIBEIRO,"RUA CARLOS TORREZANI, 285 LOJA: 1, - LETICIA",30-09-2011,SIM,-19.810871748511186,-43.98162513124856,,,
TOSCANINI CAFE,MELO SILVA ENGENHARIA E ALIMENTOS LTDA,"AVE RAJA GABAGLIA, 2664 TERREO1 SUBSL 1 - ESTORIL",14-09-2011,SIM,-19.959326302342255,-43.9575895395782,,,
,EMANUELLA LARISSA VALADARES LIPARIZI 07264033694,"RUA DOUTOR JOAO MIRANDA, 188 APT 201 - DONA CLARA",25-09-2011,NÃO,-19.861399059185267,-43.935943476677345,,,
,MAURILO JOSE DUTRA FILHO 00490044689,"RUA CATALUNHA, 443 nan - SANTA TEREZINHA",26-09-2011,NÃO,-19.870999987393166,-44.00770404352743,,,
,VANESSA FERREIRA DE PAULA 06002963693,"AVE OIAPOQUE, 221 LOJA A 13 ,ANDAR 3: - CENTRO",03-10-2011,NÃO,-19.913807205726954,-43.93964435519873,,,
TITIA ZITA,CANTINA DA TIA ZITA LTDA,"RUA JOSE CLETO, 901 LOJA, - SANTA CRUZ",02-09-2011,NÃO,-19.873686869286175,-43.93912550598856,,,
,ADENILSON JOSE APARECIDO VIEIRA 04589142660,"RUA ALABASTRO, 345 LOJA C - SAGRADA FAMILIA",05-10-2011,NÃO,-19.909325104302358,-43.920626490117925,,,
,BAR E RESTAURANTE FORTUNA DE MINAS LTDA,"RUA DA BAHIA, 615 LOJA 17 - CENTRO",08-02-1971,SIM,-19.920390045660117,-43.93611547450593,,,
BAR DO GIL,EGIDIO MARTINS MONTEIRO,"RUA DOS GUARANIS, 600 nan - CENTRO",01-11-1978,SIM,-19.92017301343376,-43.94357089852592,,,
,BAR E RESTAURANTE CHANTECLER LTDA,"RUA DA BAHIA, 1403 LOJA A - LOURDES",01-02-1957,NÃO,-19.927323879896925,-43.93800980208595,,,
BAR RECANTO DA AMIZADE,BAR RECANTO DA AMIZADE LTDA,"RUA AUGUSTO DOS ANJOS, 743 LOJA - RIO BRANCO",26-06-1980,SIM,-19.819278358770614,-43.98116611262753,,,
CASA CHEIA,BAR E RESTAURANTE CASA CHEIA LTDA,"AVE AUGUSTO DE LIMA, 744 LOJA 167 - CENTRO",01-11-1978,SIM,-19.923021511446645,-43.94333290413573,,,
SUNTOR RESTAURANTE & CAFETERIA,REDE PAULO DE TARSO,"RUA WILSON ROCHA LIMA, 80 nan - SANTA LUCIA",30-12-2024,NÃO,-19.97036531619844,-43.95549804408175,,,
CHURRASCARIA SANTA AMELIA,CHURRASCARIA SANTA AMELIA LTDA,"AVE GUARAPARI, 1166 LETRA A - SANTA AMELIA",15-09-1979,SIM,-19.836129524520413,-43.9750648586783,,,
,BAR E RESTAURANTE PENA VERDE LTDA,"AVE CRISTIANO MACHADO, 5480 nan - SAO PAULO",01-04-1981,SIM,-19.86720827589221,-43.92768997298444,,,
,LANCHES TROPPO BUONO LTDA,"RUA DOS AIMORES, 1065 nan - BOA VIAGEM",08-03-1982,NÃO,-19.929412997606523,-43.93432769033878,,,
,GUT BAR LTDA,"RUA ESMERALDA, 604 nan - PRADO",02-01-1978,SIM,-19.928456681342105,-43.962410736997626,,,
,MESSIAS BAR LTDA,"RUA LAGOA DA PRATA, 480 nan - SALGADO FILHO",02-05-1977,SIM,-19.93991226383795,-43.98295053489388,,,
RESTAURANTE DO ZEQUINHA,BAR E RESTAURANTE BOM DIA LTDA,"AVE OLEGARIO MACIEL, 714 BOX 107 - CENTRO",01-07-1977,NÃO,-19.920882204293953,-43.9448164842383,,,
,LANCHONETE E MERCEARIA JEQUITINHONHA LTDA,"RUA ICANA, 33 nan - NOVA SUISSA",01-11-1977,SIM,-19.936201886061294,-43.977319124271034,,,
BAR ROSICLE,BAR ROSICLE LTDA,"RUA JACUI, 463 nan - COLEGIO BATISTA",02-01-1962,SIM,-19.90913535294146,-43.93239304204534,,,
BAR DA PRACA,JOSE CARLOS DE SA MENEZES E CIA LIMITADA,"RUA CONSELHEIRO DANTAS, 6 nan - CALAFATE",02-04-1982,SIM,-19.923419690391473,-43.96801508362398,,,
BAR E CAFE SANDRA LTDA,BAR E CAFE SANDRA LTDA,"RUA PENAFIEL, 186 nan - ANCHIETA",16-09-1964,NÃO,-19.94975869886481,-43.927441044003864,,,
,LELIA ALVES PEREIRA MARTINS,"AVE OLINTO MEIRELES, 316 nan - BARREIRO",23-08-2011,NÃO,-19.97400345927832,-44.013303920782484,,,
,BAR SO LAZARO LTDA,"RUA ELISIO DE BRITO, 205 nan - BOA VISTA",08-06-1977,SIM,-19.89606231078121,-43.90624736914837,,,
,SORVETERIA TEIXEIRA LTDA,"RUA SAO MATIAS, 143 nan - SAO SALVADOR",15-08-1979,NÃO,-19.890615698107233,-44.01355270949041,,,
,BAR CAMPO FORMOSO LTDA,"RUA CAMPO FORMOSO, 166 nan - SALGADO FILHO",01-11-1980,NÃO,-19.946879886503517,-43.985946537632195,,,
,CHL LIMITADA,"RUA ALAGOAS, 763 nan - SAVASSI",24-08-1981,NÃO,-19.93388939065983,-43.93566950803215,,,
,GULU BAR E RESTAURANTE LTDA,"AVE OLEGARIO MACIEL, 474 LOJA: B, - CENTRO",22-08-2011,SIM,-19.91844032964868,-43.94414549656061,,,
,JAIME BOTELHO DE LIMA,"RUA ELISIO DE BRITO, 395 nan - BOA VISTA",01-10-1969,NÃO,-19.895656327747698,-43.90439370249436,,,
,BAR E CAFE BEIRUTE LTDA,"RUA DOS TAMOIOS, 499 nan - CENTRO",01-01-1955,SIM,-19.919914788297373,-43.941097162419965,,,
BAR DA LORA,LUMAPA BAR LTDA,"AVE AUGUSTO DE LIMA, 744 LOJA 115 - CENTRO",01-03-1973,SIM,-19.923021511446645,-43.94333290413573,,,
PIZZARELLA,PIZZARELLA LTDA,"AVE OLEGARIO MACIEL, 2280 nan - SANTO AGOSTINHO",10-12-1971,SIM,-19.93399019195327,-43.94839554357122,,,
BOLA BAR,BOLA BAR LTDA,"RUA PADRE EUSTAQUIO, 2494 LOJA: 00, - PADRE EUSTAQUIO",01-07-1980,SIM,-19.914945194908146,-43.97632109383302,,,
,BAR E RESTAURANTE TRUPICO MINEIRO LTDA,"RUA PINHEIRO CHAGAS, 406 nan - BARREIRO",20-07-1980,SIM,-19.980631904269114,-44.01277762307959,,,
RESTAURANTE CAMPUS SAUDE,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,"AVE PROFESSOR ALFREDO BALENA, 190 SETOR: RU SAUDE, - SANTA EFIGENIA",29-10-2012,SIM,-19.925156495267093,-43.92931526865181,,,
RESTAURANTE FACULDADE DE DIREITO,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,"AVE ALVARES CABRAL, 211 SUBSL: RU DIREITO, - CENTRO",29-10-2012,SIM,-19.92554575383307,-43.93679771791617,,,
RESTAURANTE CAMPUS PAMPULHA-SETORIAL II,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,"AVE PRESIDENTE ANTONIO CARLOS, 6627 SETOR: RU SETORIAL II, - CAMPUS UFMG",29-10-2012,NÃO,-19.866002046897655,-43.95719890001332,,,
RESTAURANTE CAMPUS PAMPULHA-SETORIAL I,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,"AVE PRESIDENTE ANTONIO CARLOS, 6627 SETOR: RU SETORIAL I, - CAMPUS UFMG",29-10-2012,NÃO,-19.866002046897655,-43.95719890001332,,,
,BAR E LANCHONETE ARUAQUES LTDA,"RUA CURITIBA, 1022 LOJA 106 - CENTRO",11-09-1980,SIM,-19.921567695443613,-43.94214929923054,,,
,RESTAURANTE MARGHERITA LTDA,"RUA DA BAHIA, 1172 nan - CENTRO",01-10-1980,SIM,-19.925208525426854,-43.937640436442685,,,
,MANOEL MAURO SALES,"RUA JERUSALEM, 10 nan - GLORIA",01-08-1980,SIM,-19.89578713507208,-44.010882787926484,,,
,RESTAURANTE XICO DA KAFUA LTDA,"ROD ANEL RODOVIARIO CELSO MELLO AZEVEDO, 1195 nan - JOAO PINHEIRO",01-02-1981,NÃO,-19.92265647443874,-44.00285005513202,https://comidadibuteco.com.br/buteco/xico-da-kafua/,Pé na areia,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044033/xicodacafua_penaareia_bh_2025_rodneycosta_unibh-8478-scaled.jpg
,14.170.992 JADEM MAXIMILIANO MARTINS,"AVE BIAS FORTES, 1411 LOJA - BARRO PRETO",23-08-2011,NÃO,-19.921905560363836,-43.94586500598522,,,
,BAR MARAJO LTDA,"RUA ELISIO DE BRITO, 409 nan - BOA VISTA",26-12-1966,SIM,-19.89559123259797,-43.90407912154552,,,
BAR E CAFE GARAPA,WAGNER RONALDO GOMES DE ARAUJO,"RUA RAUL MENDES, 151 LOJA C - FLORESTA",14-09-1967,SIM,-19.915221774385845,-43.9259219299036,,,
,DRUIDA LANCHES LTDA,"RUA CORONEL PEDRO PAULO PENIDO, 495 nan - CIDADE NOVA",01-10-1981,SIM,-19.887736857972584,-43.926100577891816,,,
,BAR E RESTAURANTE RIO NOVO LTDA,"RUA DOS TUPIS, 871 LJ. - CENTRO",12-05-1969,SIM,-19.920270980912832,-43.94497444999685,,,
,BAR NUNES E BRAGA LTDA,"RUA CACONDE, 71 nan - NOVA FLORESTA",01-03-1979,NÃO,-19.89116907833797,-43.93272041231427,,,
ZE DO ESPETO,BAR DO BIDU LTDA,"AVE SANTA TEREZINHA, 770 LOJA 02 - SANTA TEREZINHA",10-02-1979,SIM,-19.871290660059074,-44.00258944836004,,,
,BAR RESTAURANTE E PIZZARIA FORMULA 1 LTDA,"RUA RIO DE JANEIRO, 630 LOJA 47 48 49 E 50 - CENTRO",01-12-1976,NÃO,-19.919830594616244,-43.938932959281566,,,
,BAR E RESTAURANTE ITATIAIA LTDA,"RUA GERALDO TEIXEIRA DA COSTA, 212 E 216 - FLORESTA",29-05-1962,NÃO,-19.91973990793804,-43.93195128416156,,,
,GRUTA MARA LTDA,"RUA DOS TUPIS, 369 nan - CENTRO",24-04-1963,NÃO,-19.92138546276546,-43.94042214150329,,,
,BAR FORTALEZA LTDA,"AVE AUGUSTO DE LIMA, 744 LOJA 9 E 10 - CENTRO",01-01-1968,SIM,-19.923021511446645,-43.94333290413573,,,
BAR DO SALOMAO,BAR DO SALOMAO E IRMA LTDA,"RUA DO OURO, 895 nan - SERRA",01-05-1952,NÃO,-19.938845378657216,-43.919948516855264,,,
,BAR AUAD LTDA,"RUA NIQUEL, 246 LOJA - SERRA",08-08-1966,SIM,-19.942212424500113,-43.91721182536061,,,
,BAR E MERCEARIA MOREIRA LTDA,"RUA CARMO DA MATA, 644 nan - SAUDADE",10-10-1974,SIM,-19.91529318796992,-43.89788599125358,,,
DISTRIBUIDORA DE BEBIDAS CHOPPLANDIA,CHOPPLANDIA LTDA,"RUA MONTE VERDE, 213 nan - SAO SALVADOR",06-02-1962,SIM,-19.891343927386792,-44.013233361723515,,,
,LANCHONETE PARACATU LTDA,"RUA PARACATU, 905 nan - BARRO PRETO",03-11-1981,SIM,-19.925911617430582,-43.95279637158799,,,
BAR DA TIA,JILO TRADICAO MC LTDA,"AVE AUGUSTO DE LIMA, 744 LOJA 1004 - CENTRO",01-09-1981,SIM,-19.923021511446645,-43.94333290413573,,,
,RIBAS LANCHES LTDA,"AVE AUGUSTO DE LIMA, 1288 A - BARRO PRETO",01-10-1977,SIM,-19.921744781421207,-43.94854428628283,,,
,TOP LANCHES LTDA,"RUA DOS GUARANIS, 560 nan - CENTRO",20-06-1972,SIM,-19.919792960685204,-43.94346174085822,,,
CAFE PALHARES,CAFE PALHARES LTDA,"RUA DOS TUPINAMBAS, 638 nan - CENTRO",16-09-1955,SIM,-19.91737429570978,-43.94005764953965,https://comidadibuteco.com.br/buteco/3149-revision-v1/,Polpeta de Berinjela com Dois Queijos,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050219/cafepalhares_polpetadeberingelacomdoisqueijos_bh_2025_fernandaoliveira_unibh-8289-scaled.jpg
PIZZARIA OPCAO,PIZZARIA OPCAO LTDA,"RUA DOS ASTECAS, 2670 nan - SANTA MONICA",15-10-1981,SIM,-19.826820519637586,-43.9804086179305,,,
,BAR E CAFE SAO JUDAS LTDA,"AVE AUGUSTO DE LIMA, 744 LOJA: 608, SETOR: ALVENARIA 02, - CENTRO",15-10-1979,NÃO,-19.923021511446645,-43.94333290413573,,,
,BAR E CAFE SAO JUDAS LTDA,"AVE AUGUSTO DE LIMA, 744 LOJA: 609, SETOR: ALVENARIA 02, - CENTRO",15-04-2015,NÃO,-19.923021511446645,-43.94333290413573,,,
BAR DO ANTONIO,BAR DO ANTONIO LIMITADA,"RUA FLORIDA, 15 nan - SION",13-10-1976,SIM,-19.948484828489153,-43.9340213488364,,,
,BAR DO ANTONIO LIMITADA,"RUA FLORIDA, 31 nan - SION",22-08-2006,NÃO,-19.9485317305461,-43.9338269643612,,,
,BAR DO ANTONIO LIMITADA,"RUA GUAICUI, 615 nan - LUXEMBURGO",17-10-2013,NÃO,-19.9474530471231,-43.954522263547894,,,
,JOSE EDUARDO AVELINO DA CRUZ 22274685649,"RUA TALES, 30 nan - NAZARE",01-10-2012,NÃO,-19.848962166218485,-43.89856590042095,,,
,ROSILENE JULIA PINTO 88275671604,"RUA BOLIVAR, 263 LOJA - UNIAO",19-10-2012,NÃO,-19.880294003031548,-43.92397859344532,,,
,EDNEI GUERCY NESTOR 05773188619,"RUA DAS PERPETUAS, 135 nan - LINDEIA",20-10-2012,NÃO,-19.974811451444705,-44.04759424498521,,,
,CLODOALDO ANTONIO DE FARIA 48335711615,"RUA JOSE AMERICO DE ALMEIDA, 411 nan - CAMARGOS",21-10-2012,NÃO,-19.941406365778874,-44.01400285534561,,,
,WELLINGTON PEREIRA PORTO 07313165684,"RUA EDUARDO LEITE BACURI, 73 nan - ALTA TENSAO I",31-10-2012,NÃO,-19.971508449060355,-43.99749519017695,,,
,CARLINDO AUGUSTO FERREIRA 90138740615,"RUA CECILIA PINTO, 173 nan - SAO BERNARDO",01-11-2012,NÃO,-19.846690306805648,-43.944852935993694,,,
,ADENICE APARECIDA DA SILVA 95701516687,"AVE PADRE JOSE MAURICIO, 723 LOJA 2 - VISTA ALEGRE",02-10-2012,NÃO,-19.954440068738688,-43.99592435278514,,,
,MARIA ALICE ALVES DE OLIVEIRA 27510034604,"RUA CRACOVIA, 87 BRCAO - EUROPA",02-10-2012,NÃO,-19.7988872430561,-43.96750269319147,,,
,NEUZA DOMINGOS DA CUNHA 85877735691,"RUA OITO, 63 LOJA - VISTA DO SOL",02-11-2012,NÃO,-19.848365037143605,-43.890263880715985,,,
,MARIA JOSE DE SOUSA PEREIRA,"RUA ASTOLFO DUTRA, 953 nan - VERA CRUZ",01-04-2003,NÃO,-19.907754591083496,-43.8958721250311,,,
,RESTAURANTE E PIZZARIA LANINHO LTDA,"RUA CONDE DE LINHARES, 725 nan - CORACAO DE JESUS",29-04-2003,SIM,-19.94238687684201,-43.94978783749787,,,
,PARREIRAS PRATES ALIMENTICIO LTDA,"AVE CRISTOVAO COLOMBO, 550 LOJA 00004 - SAVASSI",19-05-2003,SIM,-19.93543033037942,-43.93706094044167,,,
ABROLHOS,FILIPE & SUEYD REFEICOES E LANCHES LTDA,"RUA ARAGUARI, 1443 LOJA 06 - SANTO AGOSTINHO",11-03-2003,SIM,-19.93141441769327,-43.95153008651863,,,
,TANUKI ALIMENTOS LTDA,"RUA CARANGOLA, 358 nan - SANTO ANTONIO",05-08-2002,NÃO,-19.942638185145682,-43.94242219750708,,,
LE PETIT EVENTOS,OURO PRETO RECEPCOES E EVENTOS LTDA,"RUA MANOEL ELIAS DE AGUIAR, 125 nan - OURO PRETO",02-01-2003,SIM,-19.874609778982258,-43.98938246988539,,,
,POINT BAIANO BAR E RESTAURANTE LTDA,"RUA ANTONIO DE ALBUQUERQUE, 395 nan - SAVASSI",22-04-2002,SIM,-19.938500795220353,-43.93452758884655,,,
,BAR DA CACIA LTDA,"RUA RIO DE JANEIRO, 1411 nan - LOURDES",11-07-2001,SIM,-19.92671343777936,-43.94061411632874,,,
,RESTAURANTE BRISTOL METROPOLITAN LTDA.,"AVE GETULIO VARGAS, 286 MZNINO, - FUNCIONARIOS",14-09-2001,NÃO,-19.93313129242861,-43.92686357786956,,,
,CHOPERIA BOM GRILL LTDA,"AVE AUGUSTO DE LIMA, 744 LOJA 04 06 - CENTRO",22-04-2003,SIM,-19.923021511446645,-43.94333290413573,,,
,ACIONAR REPRESENTACOES LTDA,"RUA ARAGUARI, 209 nan - BARRO PRETO",22-08-2003,NÃO,-19.919970939275032,-43.948411085461366,,,
,PAULO REIS DE BARROS,"RUA AMERICO MARTINS DA COSTA, 431 LOJA - MINASLANDIA",10-09-2001,SIM,-19.853021319952628,-43.927304111838446,,,
,RESTAURANTE E LANCHONETE ZANETTI E MARTINS LTDA.,"AVE ABILIO MACHADO, 1867 LOJA 03 - GLORIA",02-07-2001,NÃO,-19.901436386271754,-44.00453334999238,,,
,BAR E LANCHONETE GANGULINO'S LTDA,"RUA EXPEDICIONARIO CELSO RACIOPPI, 584 nan - OURO PRETO",09-12-1997,NÃO,-19.864804028265084,-43.98268230872032,,,
BAR E BOI,BAR & BAR LTDA,"AVE FLEMING, 294 nan - OURO PRETO",20-02-2002,SIM,-19.87141089132731,-43.98662029237455,,,
,ESTACAO PARADA DO CARDOSO PIZZARIA E RESTAURANTE LTDA,"RUA DORES DO INDAIA, 409 nan - SANTA TEREZA",15-06-2000,SIM,-19.91588103876961,-43.91052518446365,,,
,BERILO SAVASSI LTDA,"RUA FERNANDES TOURINHO, 503 ANDAR 2 - SAVASSI",20-11-2002,SIM,-19.938629592116698,-43.93936622257761,,,
,RESTAURANTE TRATTORIA GRILL II LTDA,"ROD BR TREZENTOS E CINQUENTA E SEIS, 3049 LOJA: 68-69 OP, - BELVEDERE",15-06-1999,SIM,-19.974552964635894,-43.94619933000914,,,
,COMERCIAL LINS & GUEDES LTDA,"ROD ANEL RODOVIARIO CELSO MELLO AZEVEDO, 28500 LOJA 01 - JARDIM VITORIA",01-10-2002,SIM,-19.84038003127962,-43.876000533544236,,,
EXPRESSA GULA,EXPRESSA GULA RESTAURANTE E LANCHONETE LTDA,"AVE AMAZONAS, 717 LOJA 02 - CENTRO",06-05-2002,SIM,-19.920736428059378,-43.941209202089325,,,
,BREGUEZ BAR LTDA,"RUA DOS CAETES, 15 LOJA 01 - CENTRO",05-07-2002,NÃO,-19.917656578400617,-43.93423996620634,,,
DUCARMO SELF SERVICE LTDA,DUCARMO & FRANCO SELF SERVICE LTDA,"RUA MATO GROSSO, 960 LOJA 05 - SANTO AGOSTINHO",10-07-2002,SIM,-19.92657359173536,-43.94905024685023,,,
,DEOCLIDES VIEIRA DE PAULA,"RUA CAMBE, 681 nan - COQUEIROS",01-04-2001,NÃO,-19.902067962839574,-44.02355850451842,,,
GRAOS DA TERRA,TEIXEIRA MENDES REFEICOES E LANCHES LTDA,"RUA CLAUDIO MANOEL, 463 LOJA 4 - SAVASSI",12-08-2002,SIM,-19.93447401068184,-43.92962617860734,,,
,DODORA RESTAURANTE E LANCHONETE LTDA,"RUA CAXAMBU, 37 nan - LAGOINHA",06-03-2001,NÃO,-19.90613394165448,-43.94534828812781,,,
ALIMENDES,EMERSON NOGUEIRA MENDES,"RUA COBRE, 200 nan - CRUZEIRO",01-07-1994,NÃO,-19.943772582880456,-43.92475216611246,,,
,BAR TRADICAO DO PEIXE LTDA,"RUA ALCIDES LOBO, 45 nan - JOAO PINHEIRO",21-12-2000,SIM,-19.929678002987547,-43.99405878068361,,,
,ELIZABETE PEREIRA DA SILVA - CPF 796.721.086-72,"RUA PADRE TIAGO DE ALMEIDA, 311 LOJA A - CAMARGOS",09-04-2001,NÃO,-19.939206504817392,-44.02297671556025,,,
PIZZA-CREK,ORGANIZACAO BAETA E MARIANI LTDA,"AVE AGGEO PIO SOBRINHO, 420 LOJA 10 - BURITIS",11-08-2003,NÃO,-19.976564923946935,-43.97735298997316,,,
RESTAURANTE MESA DE MINAS,RESTAURANTE PAZZANESE E ELIAS LTDA,"RUA SENADOR LIMA GUIMARAES, 531 nan - OLHOS D'AGUA",28-03-2003,SIM,-19.971495168758235,-43.95907249518917,,,
BANQUETE MINEIRO,CAFETERIA E LANCHONETE MINEIRO LTDA,"AVE OLEGARIO MACIEL, 283 nan - CENTRO",20-04-2001,SIM,-19.917207739791795,-43.94345331130125,,,
BONECA DE LILI,SALADA E CIA SELF SERVICE LTDA,"AVE DO CONTORNO, 1468 nan - FLORESTA",08-11-1999,SIM,-19.913598125456776,-43.92976508572712,,,
,EM 2 BAR E RESTAURANTE LTDA,"RUA PARU, 1067 nan - NOVA FLORESTA",24-07-2002,SIM,-19.889541885285386,-43.93532005111381,,,
,JACKIE TEQUILA BAR E RESTAURANTE LTDA,"AVE BARAO HOMEM DE MELO, 4317 nan - ESTORIL",01-06-1999,NÃO,-19.96622944067126,-43.95475674691257,,,
,VERSAT SOLUCAO INDUSTRIAL & REPRESENTACAO COMERCIAL LTDA,"RUA PARACATU, 1163 SALA: 501, - SANTO AGOSTINHO",03-10-2002,NÃO,-19.92805491927328,-43.95337384766524,,,
EDDIE FINE BURGUERS,EDDIE LTDA,"RUA DA BAHIA, 2652 nan - LOURDES",01-02-2002,SIM,-19.93823391863066,-43.94121312528854,,,
,CARNES E SALADAS DIAMOND MALL LTDA,"RUA BERNARDO GUIMARAES, 2394 LOJA BG41 - SANTO AGOSTINHO",01-09-2001,SIM,-19.927573878206363,-43.94719557569189,,,
,DELLICIAS DA VILLA LTDA,"RUA SAPUCAI, 429 ANDAR: 3, - FLORESTA",11-09-2001,SIM,-19.917491284234508,-43.93254733322151,,,
,SP BELO HORIZONTE- 2002 BAR E RESTAURANTE LTDA,"AVE OLEGARIO MACIEL, 1600 LOJA BG 71 - SANTO AGOSTINHO",06-08-2002,SIM,-19.928218806535146,-43.94682423267037,,,
,MARIA DAS GRACAS TAVARES MALTA,"RUA JUNO, 365 nan - GLORIA",11-12-2000,NÃO,-19.91179531465651,-44.00372788343228,,,
D'ARTAGNAN,DARTA LTDA,"RUA TOMAZ GONZAGA, 593 nan - LOURDES",19-03-2001,SIM,-19.932104184631356,-43.94464444502281,,,
ALVARENGA GLUTEN FREE,NATUREBA PRODUTOS ALIMENTICIOS LTDA.,"RUA ALVARENGA PEIXOTO, 1207 LOJA 01 - SANTO AGOSTINHO",02-06-2015,SIM,-19.929334693809608,-43.95064178824845,,,
BELLA VENEZIA,CYBUS COMERCIO LTDA,"PCA DAS CONSTELACOES, 143 LOJA 5 - SANTA LUCIA",15-10-2002,SIM,-19.96128369933313,-43.94648329054713,,,
,EDSON QUINTINO ALVES,"RUA DOS CANOEIROS, 261 nan - SANTA MONICA",14-12-2001,SIM,-19.828573548226224,-43.977077116073126,,,
,LUIZ CARLOS DA SILVA - BAR,"AVE DOM JOAO VI, 1601 LOJA 01 - PALMEIRAS",18-10-2001,NÃO,-19.970192885942694,-43.9800931104128,,,
